iso_country,name,iata_code
US,Gardner Municipal Airport,GDM
US,Dawson Community Airport,GDV
US,Gladwin Zettel Memorial Airport,GDW
US,Delaware Coastal Airport,GED
US,Spokane International Airport,GEG
US,South Big Horn County Airport,GEY
US,Malmstrom Air Force Base,GFA
US,Pope Field,GFD
US,Grand Forks International Airport,GFK
US,Floyd Bennett Memorial Airport,GFL
US,Georgetown County Airport,GGE
US,East Texas Regional Airport,GGG
US,Glasgow Valley County Airport Wokal Field,GGW
US,Centerville Municipal Airport,GHM
US,Idaho County Airport,IDH
US,Winter Haven Regional Airport - Gilbert Field,GIF
US,Grand Junction Regional Airport,GJT
US,Port Meadville Airport,MEJ
US,Gatlinburg-Pigeon Forge Airport,GKT
US,Goodland Municipal Airport,GLD
US,Gainesville Municipal Airport,GLE
US,Mid Delta Regional Airport,GLH
US,Gaylord Regional Airport,GLR
